candidate_id,energy_proxy_eu_h,energy_avt_T6,energy_avt_F12,energy_hdt_W4,energy_hdt_T12,energy_hdt_F25
65,90.59270069799891,0.0,-5.9857282387062005,0.0,0.0,-3.4215710632948984
66,94.0142717612938,0.0,-5.9857282387062005,0.0,0.0,0.0
67,97.55709996755313,0.0,-5.9857282387062005,0.0,0.0,3.5428282062593297
68,101.22118531677685,0.0,-5.9857282387062005,0.0,0.0,7.206913555483052
69,105.00652780896502,0.0,-5.9857282387062005,0.0,0.0,10.992256047671212
70,84.11333000030235,0.0,-5.9857282387062005,0.0,0.0,-9.900941760991444
71,87.29238677766841,0.0,-5.9857282387062005,0.0,0.0,-6.721884983625387
72,90.59270069799891,0.0,-5.9857282387062005,0.0,0.0,-3.4215710632948984
73,94.0142717612938,0.0,-5.9857282387062005,0.0,0.0,0.0
74,97.55709996755313,0.0,-5.9857282387062005,0.0,0.0,3.5428282062593297
75,101.22118531677685,0.0,-5.9857282387062005,0.0,0.0,7.206913555483052
76,105.00652780896502,0.0,-5.9857282387062005,0.0,0.0,10.992256047671212
77,84.15294514216514,0.0,-5.9857282387062005,0.0,0.0396151418627805,-9.900941760991444
78,87.3320019195312,0.0,-5.9857282387062005,0.0,0.0396151418627805,-6.721884983625387
79,90.63231583986169,0.0,-5.9857282387062005,0.0,0.0396151418627805,-3.4215710632948984
80,94.05388690315658,0.0,-5.9857282387062005,0.0,0.0396151418627805,0.0
81,97.59671510941591,0.0,-5.9857282387062005,0.0,0.0396151418627805,3.5428282062593297
82,101.26080045863964,0.0,-5.9857282387062005,0.0,0.0396151418627805,7.206913555483052
83,105.0461429508278,0.0,-5.9857282387062005,0.0,0.0396151418627805,10.992256047671212
84,84.19256028402792,0.0,-5.9857282387062005,0.0,0.079230283725561,-9.900941760991444
85,87.37161706139398,0.0,-5.9857282387062005,0.0,0.079230283725561,-6.721884983625387
86,90.67193098172447,0.0,-5.9857282387062005,0.0,0.079230283725561,-3.4215710632948984
87,94.09350204501936,0.0,-5.9857282387062005,0.0,0.079230283725561,0.0
88,97.6363302512787,0.0,-5.9857282387062005,0.0,0.079230283725561,3.5428282062593297
89,101.30041560050242,0.0,-5.9857282387062005,0.0,0.079230283725561,7.206913555483052
90,105.08575809269058,0.0,-5.9857282387062005,0.0,0.079230283725561,10.992256047671212
91,84.2321754258907,0.0,-5.9857282387062005,0.0,0.11884542558834149,-9.900941760991444
92,87.41123220325676,0.0,-5.9857282387062005,0.0,0.11884542558834149,-6.721884983625387
93,90.71154612358725,0.0,-5.9857282387062005,0.0,0.11884542558834149,-3.4215710632948984
94,94.13311718688215,0.0,-5.9857282387062005,0.0,0.11884542558834149,0.0
95,97.67594539314148,0.0,-5.9857282387062005,0.0,0.11884542558834149,3.5428282062593297
